L_FW_X	L_FW_Y	L_HW_X	L_HW_Y	L_Band_X	L_Band_Y	L_N1_X	L_N1_Y	L_N2_X	L_N2_Y	L_N3_X	L_N3_Y	L_N4_X	L_N4_Y	L_BandN1_X	L_BandN1_Y	L_BandN2_X	L_BandN2_Y	L_BandN3_X	L_BandN3_Y	L_BandN4_X	L_BandN4_Y	L_Yb_X	L_Yb_Y	L_Hwden_X	L_Hwden_Y	L_Fwden1_X	L_Fwden1_Y	L_Fwden2_X	L_Fwden2_Y	L_Fwden3_X	L_Fwden3_Y	L_Fwden4_X	L_Fwden4_Y	L_ray1_X	L_ray1_Y	L_ray2_X	L_ray2_Y	L_ray3_X	L_ray3_Y	L_ray4_X	L_ray4_Y	L_ray6_X	L_ray6_Y	L_ray5_X	L_ray5_Y
40.77953	108.7955	88.979203	137.73742	59.45208	80.698245	71.514127	77.383566	69.642857	68.969324	80.84957	53.826726	99.131233	47.317028	71.514865	77.368884	70.458606	68.43497	82.54478	54.10783	99.131233	47.317028	101.33003	157.3658	154.38212	156.01591	145.39399	124.35039	140.71415	120.51165	145.31006	89.55931	176.50345	111.2776	159.66634	184.26112	144.10998	188.18781	129.4952	188.66855	116.73486	183.62977	97.54196	172.77063	109.66379	176.30616
40.77953	108.7955	90.387059	137.37025	59.96019	79.65895	71.769015	77.325793	69.852988	68.848429	81.18145	53.864943	99.371002	47.335538	71.769753	77.311111	70.781707	68.213133	83.267458	54.238949	99.371002	47.335538	101.33003	157.3658	154.38212	156.01591	145.83067	124.46411	140.40023	120.36295	145.41862	88.786734	177.10482	111.82448	159.88818	183.9874	144.3209	187.87974	129.87102	187.97791	116.95178	183.36599	97.563583	173.05768	109.97121	176.40425
39.228222	107.08107	91.801936	137.03316	60.59621	78.422536	72.261754	77.287858	70.135506	68.656807	81.822102	53.976711	99.827946	47.336049	72.262492	77.273176	71.331624	67.840202	84.402152	54.447229	99.827946	47.336049	103.85541	156.8607	160.39801	155.55445	146.49144	124.68197	139.69516	120.10696	144.99585	87.790901	178.51738	114.0312	160.24266	183.24302	144.71656	187.26605	130.4555	186.94418	117.35141	182.85275	97.091481	173.55312	110.52737	176.4801
39.228222	107.08107	93.221888	136.726	61.1521	77.361476	72.853675	77.243442	70.458606	68.43497	82.54478	54.10783	100.29699	47.371898	72.854413	77.22876	71.517857	67.719324	84.732143	54.505039	100.29699	47.371898	103.85541	156.8607	160.39801	155.55445	147.22168	124.93214	138.8736	119.82912	144.72096	86.902135	179.97953	115.93785	160.68012	182.54467	145.18063	186.59953	130.62445	186.66023	117.79865	182.31146	96.502784	174.07632	110.98113	176.65135
39.228222	107.08107	94.64184	136.41883	61.70798	76.300416	73.445596	77.199027	70.781707	68.213133	83.267458	54.238949	100.76604	47.407747	73.446334	77.184345	71.70409	67.598446	85.062134	54.562849	100.76604	47.407747	103.85541	156.8607	160.39801	155.55445	147.95192	125.18231	138.05205	119.55128	144.44606	86.013369	181.44168	117.8445	161.11757	181.84631	145.64471	185.93301	130.7934	186.37627	118.2459	181.77016	95.914088	174.59952	111.4349	176.82259
37.2451	104.8268	96.066868	136.14159	62.27752	75.245772	74.462507	77.106281	71.331624	67.840202	84.402152	54.447229	101.39128	47.558865	73.760583	77.281183	72.077734	67.437622	85.884194	54.779979	101.39128	47.558865	106.37214	156.1118	166.41456	155.11268	149.1089	125.58629	136.72409	119.13356	144.31905	85.23167	183.35325	119.12441	161.91486	181.14919	146.41947	184.95397	131.08931	185.85807	118.94445	181.01279	94.986418	175.34951	111.73517	177.32904
37.2451	104.8268	97.495025	135.89411	62.37131	75.076834	74.788315	77.064432	71.517857	67.719324	84.732143	54.505039	101.53537	47.638797	74.789053	77.04975	72.508176	67.2535	86.758085	55.01145	101.53537	47.638797	106.37214	156.1118	166.41456	155.11268	149.46617	125.70778	136.33418	119.01551	145.01913	84.88736	183.7531	118.79773	162.19172	181.10439	146.66175	184.69428	131.44756	185.27537	119.14814	180.82477	94.76404	175.54855	111.68409	177.56886
37.2451	104.8268	98.883118	135.81489	62.4651	74.907896	75.114123	77.022583	71.70409	67.598446	85.062134	54.562849	101.67946	47.718728	75.817523	76.818317	72.938619	67.069379	87.907303	55.577077	101.67946	47.718728	106.37214	156.1118	166.41456	155.11268	149.82344	125.82927	135.94426	118.89746	145.42062	84.689901	184.15295	118.47105	162.46858	181.05959	146.90403	184.43459	131.80582	184.69267	119.35183	180.63675	94.541662	175.74759	111.633	177.80868
35.691957	102.95597	100.27262	135.7323	62.5228	74.390156	75.790108	76.904689	72.077734	67.437622	85.884194	54.779979	101.81716	47.748025	76.425937	76.834669	73.632573	66.754929	87.262359	54.856487	101.81716	47.748025	108.83835	155.598	167.67726	157.17292	150.7071	126.05221	135.28297	118.63985	145.75191	84.990973	182.96649	116.43255	162.97126	181.08761	147.40785	183.74297	132.43559	183.77448	119.88803	180.09488	94.152215	176.1002	111.032	178.25959
35.691957	102.95597	101.66316	135.6499	62.57453	73.736894	76.548335	76.816772	72.508176	67.2535	86.758085	55.01145	102.09333	47.853202	76.771892	76.988005	73.839286	66.647896	86.563174	54.670136	102.09333	47.853202	108.83835	155.598	167.67726	157.17292	151.6875	126.30248	134.52549	118.34671	146.06972	85.411846	181.42561	114.15766	163.43954	181.27213	147.98466	183.02928	132.64476	183.5035	120.49802	179.60601	93.697413	176.47929	110.30234	178.77232
